com.emoji.coolkeyboard.txt,-,4159,10.529899222,8386,143.096734627,16062,3064.771592764,4585,13.220961943,9115,252.155008199,Threshold,Threshold,15252,252.476591217,Threshold,Threshold,-,-,4129,248.009218715,Threshold,Threshold,-,-,
com.cleanmaster.mguard.txt,-,22152,379.075250147,Threshold,Threshold,-,-,37597,2887.987898092,Threshold,Threshold,-,-,Threshold,Threshold,-,-,-,-,Threshold,Threshold,-,-,-,-,
com.asurion.solutohome.verizon.txt,-,5305,90.508622963,Threshold,Threshold,-,-,14058,1726.548269835,Threshold,Threshold,-,-,8997,125.83164215,Threshold,Threshold,-,-,5282,495.327622819,Threshold,Threshold,-,-,
com.abodo.ABODO.txt,-,896,2.989340019,1638,3.943379943,2985,17.817289064,1215,3.094940168,2115,6.676892274,3784,39.771256851,4830,14.568524298,8556,369.611315792,Threshold,Threshold,896,3.561855866,3176,214.650804016,Threshold,Threshold,
com.paybyphone.txt,-,2345,41.26527457,4269,66.94189094,7576,1079.346553403,2509,42.558718921,4504,88.56479417,7990,1657.58907635,5368,83.402650253,10070,2665.907853785,Threshold,Threshold,2330,44.270959349,Threshold,Threshold,-,-,
com.kitkats.qrscanner.txt,-,3386,22.60815035,5381,75.642321787,8883,1597.780166108,3680,36.964607012,5792,99.001512502,9580,1655.398090152,5664,59.016452207,9763,1092.491080164,Threshold,Threshold,3382,414.625994032,Threshold,Threshold,-,-,
com.ACP.ClinicalGuidelines.txt,-,226,1.848919679,466,1.981608672,922,2.826596177,231,1.938675944,474,2.029145043,937,3.088739586,294,1.943343733,591,2.240910011,1125,4.554132238,226,1.996590862,538,2.600256215,2063,108.815540458,
com.marriott.mrt.txt,-,6496,1423.396245843,Threshold,Threshold,-,-,11853,2175.008406812,Threshold,Threshold,-,-,Threshold,Threshold,-,-,-,-,6489,614.090881418,Threshold,Threshold,-,-,
com.amazon.storm.lightning.client.aosp.txt,-,3412,7.037760055,7701,60.938081896,16796,2008.170732314,3514,7.563891937,7848,94.293002393,17067,2409.825804432,25285,379.270458715,Threshold,Threshold,-,-,3412,17.477781324,Threshold,Threshold,-,-,
air.bacteria.identification.txt,-,238,1.821379752,425,1.859475975,519,1.889781749,248,1.867897434,441,1.893265313,549,1.894848476,507,1.879196316,713,2.059932483,1058,2.898935358,238,1.814155327,329,1.827140739,648,2.474927656,
com.alaskaairlines.android.txt,-,2728,6.383809856,5061,15.559958566,9723,270.977617312,3016,6.844898607,5491,29.973808719,10441,544.478194481,11026,203.405009086,Threshold,Threshold,-,-,2728,13.483876493,8421,2848.749085881,Threshold,Threshold,
com.unfollowinsta.baby.txt,-,9078,2118.910530066,Threshold,Threshold,-,-,Threshold,Threshold,-,-,-,-,Threshold,Threshold,-,-,-,-,8860,2434.384402473,Threshold,Threshold,-,-,
com.alltrails.alltrails.txt,-,10111,61.276532184,21835,2615.349914553,Threshold,Threshold,12887,105.96740784,Threshold,Threshold,-,-,43717,3307.188675786,Threshold,Threshold,-,-,10069,842.057906599,Threshold,Threshold,-,-,
appinventor.ai_coolbhavana1.articulation_worksheets.txt,-,8316,238.37038717,Threshold,Threshold,-,-,Threshold,Threshold,-,-,-,-,Threshold,Threshold,-,-,-,-,Threshold,Threshold,-,-,-,-,
00006A949178EABB448A95205C56CDE902A60050168877044489468200EBE748.txt,-,3329,8.973751545,8587,73.269682205,19072,1987.709509088,3767,12.186107982,9463,116.815261394,20845,3534.595669569,Threshold,Threshold,-,-,-,-,3329,17.761215902,Threshold,Threshold,-,-,
