5,5
24,71
17,76
8,31
3,12
7,18
5,17
2,0
26,72
47,114
114,132
14,19
0,10
0,11
5,5
0,7
5,4
18,9
25,25
8,0
4,0
4,4
64,97
11,1
11,21
33,38
0,1
6,8
0,3
0,3
23,49
51,94
7,10
24,39
12,15
8,42
1,0
9,5
84,127
6,17
8,13
3,14
19,43
10,10
4,0
67,68
21,0
46,36
34,28
14,13
41,105
33,34
2,9
6,5
24,25
46,36
1,6
2,0
4,8
17,28
0,1
6,4
5,3
18,4
34,28
12,12
21,44
35,48
16,9
9,0
9,13
22,24
7,0
28,126
2,0
3,0
1,27
0,11
1,0
2,0
5,0
1,6
0,7
19,6
16,11
1,5
69,165
28,89
14,24
3,2
65,120
0,2
1,6
14,8
6,53
3,0
3,3
1,4
11,8
12,7
9,14
6,14
53,83
17,18
2,0
69,104
4,0
33,105
8,10
2,3
73,126
2,0
1,12
29,89
70,100
2,2
5,9
21,34
21,41
4,10
25,47
1,6
10,39
3,0
1,0
1,7
9,4
70,91
3,14
53,5
8,7
5,8
93,120
11,30
12,10
2,4
3,12
0,2
8,10
22,5
0,10
4,25
3,55
1,11
10,14
4,0
2,0
14,0
3,13
6,11
70,114
27,37
66,99
2,2
5,8
2,19
6,10
2,5
9,14
57,41
0,1
4,0
34,91
0,3
32,11
52,45
17,15
0,1
5,11
0,2
14,35
4,7
10,14
4,6
3,0
48,54
0,1
7,12
0,3
2,4
12,7
9,3
34,20
45,33
11,14
53,24
1,1
53,84
36,94
5,5
5,8
29,89
1,6
8,23
19,8
57,56
12,18
30,33
2,3
2,16
30,17
7,18
5,13
45,33
11,11
47,121
4,4
34,185
31,87
38,104
148,182
11,13
7,0
0,7
0,9
1,2
7,9
51,87
54,61
46,0
1,0
5,0
3,5
1,6
30,61
74,32
4,0
1,6
10,21
16,14
34,40
2,3
2,1
7,15
17,6
5,2
9,6
29,38
6,20
2,0
41,47
61,79
26,33
0,2
6,0
5,0
1,0
3,0
2,5
19,0
1,6
19,13
22,86
24,105
58,38
2,11
3,4
1,9
4,10
42,44
5,10
12,18
7,11
5,11
5,0
49,0
43,90
0,13
1,18
41,24
63,103
47,51
6,0
6,0
12,6
6,8
0,8
35,32
5,11
48,143
9,11
8,15
0,4
12,53
12,13
43,98
2,2
52,100
55,27
5,2
1,0
2,4
61,105
6,15
5,9
79,233
12,12
9,0
56,139
11,24
14,6
3,0
2,0
46,62
32,0
4,15
41,7
35,86
5,12
5,27
50,50
9,1
9,0
2,2
7,0
4,4
4,10
3,4
8,0
97,115
4,7
7,17
11,14
33,3
4,0
9,31
5,38
0,4
29,102
57,63
1,6
2,3
9,16
1,0
1,4
59,145
33,55
54,68
3,28
44,82
1,0
11,16
17,28
1,11
16,20
79,105
4,15
44,0
6,0
2,16
35,107
12,6
54,16
1,9
3,0
14,0
6,5
48,2
0,14
1,6
15,16
0,3
1,6
43,51
0,1
16,6
3,9
0,3
0,15
0,9
20,38
10,22
8,6
2,7
5,15
30,103
7,45
0,1
4,7
11,13
73,111
2,5
2,5
10,16
36,69
0,1
3,12
23,48
4,11
10,7
8,29
1,0
10,52
1,0
71,55
10,16
16,47
0,2
51,71
9,8
1,5
22,62
14,7
5,0
1,12
8,7
8,0
0,2
56,137
2,0
0,7
1,2
0,3
1,11
