5,22,18
4482,5279,16187
59,3,0
37,0,20
22,0,200
31,129,11
6,1,20
37,101,173
16,39,0
29,21,0
20,7,44
6,24,1
29,144,268
54,0,8
32,10,27
14,0,25
9,0,3
80,16,216
16,31,76
28,1,0
22,83,61
65,13,1172
25,842,236
5,4,0
145,54,553
669,24,181
5,8,9
20,4,36
6214,81,21397
48,0,1
10,95,4
28,7,18
29,70,516
105,108,560
108,366,0
82,39,922
6,0,9
20,1,52
146,74,2034
13,3,2
2,0,2
20,27,74
7,116,28
13,33,127
69,102,896
5,2,0
26,16,357
7,16,0
6,2,5
10,4,0
29,2,2
47,28,250
73,8,575
29,51,54
2,1,0
10,4,41
8,44,12
136,381,1450
61,11,1174
69,84,159
74,46,824
19,8,7
5,1,20
112,73,601
43,1,15
34,31,778
5,4,0
77,2,0
3390,15,2244
2656,486,1839
5,0,4
6555,295,10695
36,11,580
14,2,2
23,13,38
2604,4,2848
287,54,538
112,162,2279
12,27,45
4,0,3
51,79,2057
5,0,1
22,0,4
65,27,477
53,5,50
17,0,2
2105,3070,941
6,0,3
9,6,16
19,2,41
201,17,1258
8,2,6
6,10,14
60,62,123
191,2,5
9,24,390
36,74,280
11,152,105
73,6,197
5,20,0
18,0,19
30,0,40
26,43,155
7,39,89
4,1,0
11,8,0
17,4,17
364,1878,5233
16,5,9
7,4,3
15,17,2
15,34,70
122,11,728
9,2,0
18,0,14
3,1,0
23,4,48
243,635,2899
23,8,350
22,8,8
75,11,787
122,36,2082
349,12,273
26,14,104
260,27,3542
222,556,5316
58,46,382
5,42,1
4,8,0
20,1,106
106,20,900
78,41,142
42,0,30
19,76,100
30,4,2
7,9,2
19,18,24
1050000,2,31
27,15,615
30,29,420
706,4278,11429
84,197,1590
3,2,0
199,86,1827
35,21,116
30,2,6
23,33,0
52,4,40
41,68,199
8,8,8
30,90,211
46,19,1245
5724,107,3257
6,10,0
116,0,8
13,3,40
21,10,0
24,120,167
15,20,93
13,144,107
806,704,1587
7,0,18
11,10,1
8,7,32
38,0,459
35,0,51
7761,403,4156
36,201,107
21,3,219
20,8,510
198,22,103
42,294,1096
22,6,15
223,55,4703
93,0,1
14,99,40
3,1,0
9,58,146
23,0,3
5,4,10
51,51,354
20,1,23
91,31,836
351,24,0
16,0,3
11,8,0
52,0,19
22,6,6
8,0,50
3879,8,2567
1050000,1,111
92,20,0
16,25,181
56,26,1398
54,185,146
11,82,56
32,55,66
140,41,2559
7,4,0
58,19,766
50,29,24
13,2,14
431,43,62
131,22,1295
39,3,2
9,27,50
28,0,14
89,4,2
12,1,10
37,7,365
33,11,209
241,1090,8081
53,1,16
43,390,111
5,7,6
49,5,63
192,2,2
166,30,361
4,13,0
16,4,0
33,7,48
249,37,3012
5,0,1
5,1,0
70,11,0
5,0,1
4,1,0
72,35,1532
26,30,813
3,0,1
31,65,658
46,148,829
53,8,98
1050000,0,3
250,2,0
12,6,9
253,8,1877
24,79,971
137,12,1953
2330,71,1168
61,77,2182
7,17,0
234,4,394
63,53,71
33,2,29
34,15,85
74,13,68
7989,834,36997
107,43,1364
40,56,0
24,2,0
10,17,0
4,0,3
78,72,2177
7,20,4
5,3,0
4,14,0
53,6,236
2068,9,2179
25,14,42
9,15,88
110,39,120
6,6,0
24,70,462
14,2,8
2619,7,4735
5,10,0
19,13,66
23,2,0
24,1,0
38,12,62
