ch.colblindor.colorblindcheck.txt,-,#Alloc,791,2053,4331,8981,18803,38227,76667,3932,10412,22011,46191,98492,Threshold,-,694,1907,4060,8451,17755,36231,72822,143857,Threshold,-,
ch.colblindor.colorblindcheck.txt,-,#Time,2.804366647,3.001993765,5.538122954,15.139673567,54.816203763,235.247884235,1073.435097126,4.496196,16.358360058,92.014794852,457.708247163,2231.874632376,Threshold,-,2.525312075,5.539140495,8.758896526,15.901993628,76.063344562,305.072774756,1484.931756323,4074.001204663,Threshold,-,
br.com.celtica.ecglite.txt,-,#Alloc,1232,3449,7675,16807,35892,75754,155483,2939,9370,21594,48038,101751,Threshold,-,696,1973,4416,9704,20794,44127,91109,Threshold,-,-,
br.com.celtica.ecglite.txt,-,#Time,8.236580449,9.471862509,21.205568392,71.659145165,321.443796109,1546.463432306,4793.824321304,5.115624353,21.696641435,74.054540652,478.206646929,1946.365919275,Threshold,-,4.124716917,4.978336499,7.202910272,18.223949877,71.247094347,319.311805043,1393.293916128,Threshold,-,-,
com.aaa.android.discounts.txt,-,#Alloc,19845,54642,126456,Heap,-,-,-,98048,Threshold,-,-,-,-,-,12405,35673,84878,198317,Threshold,-,-,-,-,-,
com.aaa.android.discounts.txt,-,#Time,38.393181824,237.204266859,1540.918469875,Heap,-,-,-,1648.653068239,Threshold,-,-,-,-,-,19.052837583,81.072707203,508.870733163,3226.608388277,Threshold,-,-,-,-,-,
co.medimate.reminder.txt,-,#Alloc,33144,Threshold,-,-,-,-,-,97110,Threshold,-,-,-,-,-,8472,27099,Threshold,-,-,-,-,-,-,-,
co.medimate.reminder.txt,-,#Time,312.140963628,Threshold,-,-,-,-,-,1944.557899549,Threshold,-,-,-,-,-,20.822836563,422.780050698,Threshold,-,-,-,-,-,-,-,
codematics.universal.tv.remote.control.txt,-,#Alloc,6605,50494,Threshold,-,-,-,-,106392,Threshold,-,-,-,-,-,6459,50240,Threshold,-,-,-,-,-,-,-,
codematics.universal.tv.remote.control.txt,-,#Time,21.716736886,428.849631138,Threshold,-,-,-,-,2969.037322784,Threshold,-,-,-,-,-,18.071455105,420.389986982,Threshold,-,-,-,-,-,-,-,
cc.dreamspark.intervaltimer.txt,-,#Alloc,1110,2628,5173,10169,20047,39267,76033,1669,3655,7078,13858,27242,53081,102629,976,2380,4739,9345,18425,36143,70028,135361,Threshold,-,
cc.dreamspark.intervaltimer.txt,-,#Time,3.638771626,4.214172559,7.029417368,19.346847583,71.01435507,322.452030605,1106.922220245,3.610867112,5.573937621,12.112165497,40.417521185,179.908910456,608.906429024,2371.665839357,3.294837402,4.130526549,6.196042482,16.129715495,64.488608361,244.89928257,939.18657691,4027.891351495,Threshold,-,
cn.threeplus.appscomm.pedometer.txt,-,#Alloc,14930,52367,Threshold,-,-,-,-,55832,Threshold,-,-,-,-,-,9312,37099,119783,Heap,-,-,-,-,-,-,
